Absurd - (ridiculous, senseless, foolish)
Insulting - (offending, discourteous, rude)
Intelligent - (bright, smart, brainy)
Intense - (extreme, passionate, strained)
Irresistible - (overpowering, overwhelming, compelling)
Irritating - (annoying, troublesome, provoking)
Juicy - (drippy, luscious, tantalizing)
Lazy - (lifeless, apathetic, weary)
Legendary - (famous, distinctive, prominent)
Loud - (noisy, boisterous, deafening)
Lovable - (adorable, endearing, cuddly)
Lucky - (fortunate, serendipitous, favored)
Luscious - (delicious, savory, juicy)
Luxurious - (opulent, lavish, sumptuous)
Magical - (enchanting, miraculous, marvelous)
Manly - (masculine, virile, strong)
Masculine - (male, manly, virile)
Meek - (shy, mild, timid)
Melodramatic - (theatrical, sensational, showy)
Mischievous - (naughty, prankish, sly)
Miserable - (wretched, pitiful, forlorn)
Misunderstood - (not grasped, not learned, not absorbed)
Mysterious - (secretive, puzzling, strange)
Mystical - (spiritual, secretive, esoteric)
Naive - (unsophisticated, childlike, simple)
Nasty - (mean, inclement, offensive)
Natural - (pure, simple, unadorned)
Neat - (tidy, orderly, cool)
Neglected - (ignored, disregarded, rejected)
Nerdy - (unhip, uncool, dorky)
Normal - (usual, common, ordinary)
Obnoxious - (offensive, repulsive, annoying)
Odd - (different, eccentric, bizarre)
Offensive - (insulting, vulgar, attacking)
Ordinary - (usual, common, plain)
Organic - (natural, clean, biological)
Outrageous - (shocking, scandalous, disgraceful)
Overwhelming - (exhaustive, breathtaking, monumental)
Painful - (hurtful, agonizing, unbearable)
Pathetic - (pitiful, distressing, heart-rending)
Patriotic - (nationalistic, loyal, public-spirited)
Peaceful - (serene, restful, calm)
Perfect - (faultless, consummate, exact)
Philosophical - (thoughtful, contemplative, wise)
Phony - (false, artificial, imitation)
Playful - (fun, frisky, entertaining)
Popular - (well-liked, accepted, preferred)
Powerful - (strong, forceful, robust)
Primitive - (prehistoric, primal, uncivilized)
Principled - (conscientious, ethical, scrupulous)
Profound - (deep, wise, thoughtful)
Puffy - (swollen, billowy, bloated)
Pure - (innocent, unadulterated, chaste)
Quiet - (peaceful, silent, calm)
Radiant - (shining, glowing, sparkling)
Radical - (unconventional, revolutionary, extreme)
Rare - (scarce, unusual, half-cooked)
Realistic - (authentic, lifelike, reasonable)
Refined - (well-bred, purified, cultivated)
Refreshing - (brisk, invigorating, rejuvenating)
Relaxing - (restful, calming, peaceful)
Repulsive - (disgusting, offensive, foul)
Responsible - (accountable, obligated, mature)
Revolutionary - (innovative, rebellious, radical)
Rich - (wealthy, affluent, moneyed)
Ridiculous - (preposterous, absurd, ludicrous)
Risky - (hazardous, daring, speculative)
Rough - (scratchy, uneven, jagged)
Saintly - (virtuous, angelic, divine)
Sappy - (gooey, mushy, romantic)
Scary - (frightening, absurd, ugly)
Scenic - (picturesque, dramatic, panoramic)
Selfish - (stingy, greedy, miserly)
Senseless - (meaningless, absurd, foolish)
Sensitive - (susceptible, sympathetic, tender)
Sensual - (tactile, pleasing, sexual)
Sexy - (arousing, appealing, seductive)
Shallow - (superficial, trivial, not deep)
Sharp - (pointed, keen, acute)
Shiny - (reflective, gleaming, polished)
Shocking - (frightening, electrifying, startling)
Shy - (bashful, timid, cautious)
Silly - (goofy, absurd, nonsensical)
Smart - (intelligent, stylish, witty)
Smelly - (stinky, odorous, rank)
Smooth - (even, level, flat)
Snappy - (stylish, trendy, fast)
Soft - (malleable, pliable, mushy)
Speedy - (quick, rapid, fast)
Spicy - (flavorable, tangy, hot)
Spiritual - (religious, inspired, supernatural)
Spooky - (scary, weird, ghostly)
Spunky - (perky, lively, spirited)
Squeaky Clean - (pure, immaculate, unapproachable)
Stereotyped - (pigeonholed, caricatured, characterized)
Stunning - (astonishing, staggering, astounding)
Sultry - (sweltering, humid, sensual)
Sweet - (sugary, caring, good)
Swift - (quick, speedy, expeditious)
Talented - (gifted, clever, skillful)
Tame - (subdued, gentle, trained)
Technological - (scientific, futuristic, mechanical)
Temperamental - (moody, irritable, short-tempered)
Timeless - (classic, ageless, well-established)
Touchy-Feely - (affectionate, tactile, huggy)
Tough - (strong, firm, difficult)
Trustworthy - (honest, reliable, unfailing)
Twisted - (distorted, warped, perverted)
Unbelievable - (incredible, far-fetched, impossible)
Unforgettable - (notable, impressive, remarkable)
Unhealthy - (risky, sickly, dangerous)
Unnatural - (abnormal, artificial, bizarre)
Unreal - (imaginary, illusionary, unbelievable)
Unscrupulous - (unethical, corrupt, unprincipled)
Unusual - (rare, odd, uncommon)
Useless - (worthless, ineffective, unneeded)
Violent - (furious, vicious, destructive)
Virtuous - (worthy, righteous, chaste)
Visionary - (idealistic, prophetic, far-seeing)
Weird - (abnormal, peculiar, odd)
Wicked - (evil, corrupt, depraved)
Wild - (untamed, savage, ferocious)
Witty - (clever, humorous, cunning)
Woebegone - (dismal, sorrowful, bummed out)
Worldly - (experienced, sophisticated, materialistic)
Zany - (crazy, funny, wacky)
Active - (lively, vigorous, functioning)
Affectionate - (loving, passionate, tender)
Alluring - (attracting, charming, seductive)
Artistic - (creative, talented, imaginative)
Astonishing - (surprising, amazing, shocking)
Authentic - (genuine, realistic, reliable)
Beloved - (much-loved, cherished, adored)
Bewildering - (confusing, baffling, perplexing)
Bitter - (sour, harsh, resentful)
Bulky - (cumbersome, massive, awkward)
Childish - (immature, self-indulgent, silly)
Cheerful - (happy, joyful, merry)
Cautious - (careful, guarded, watchful)
Careless - (imprudent, slipshod, sloppy)
Captivating - (charming, enchanting, bewitching)
Clear - (understandable, uncluttered, transparent)
Common - (ordinary, regular, familiar)
Complex - (multifaceted, difficult, complicated)
Confusing - (perplexing, bewildering, puzzling)
Corny - (silly, clichéd, sentimental)
Costly - (expensive, valuable, pricey)
Crunchy - (crispy, crusty, crackly)
Daring - (bold, courageous, defiant)
Darling - (adorable, dear, lovely)
Dazzling - (impressive, stunning, glittery)
Deep - (profound, multi-layered, cavernous)
Defective - (faulty, flawed, malfunctioning)
Dense - (thick, solid, unintelligent)
Deteriorated - (worn, battered, dilapidated)
Devoted - (loyal, faithful, committed)
Difficult - (complicated, demanding, obstinate)
Disagreeable - (offensive, rude, unfriendly)
Disappointing - (frustrating, inadequate, unacceptable)
Disgraceful - (shameful, scandalous, appalling)
Disgusting - (revolting, repulsive, nauseating)
Distracting - (off-putting, disturbing, confusing)
Disturbed - (troubled, unstable, upset)
Dopey - (stupid, dazed, silly)
Drab - (dull, dreary, lackluster)
Dreadful - (terrible, frightful, shocking)
Dumb - (stupid, dull, mute)
Durable - (tough, resilient, heavy-duty)
Edible - (not poisonous, ripe, tasty)
Elegant - (stylish, graceful, chic)
Embarrassing - (awkward, upsetting, disconcerting)
Engaging - (appealing, engrossing, attractive)
Enlightened - (insightful, progressive, knowledgeable)
Essential - (necessary, fundamental, crucial)
Exceptional - (outstanding, extraordinary, special)
Exotic - (unusual, strange, foreign)
Extravagant - (lavish, excessive, bling-bling)
Familiar - (well-known, comfortable, intimate)
Feisty - (lively, spirited, aggressive)
Ferocious - (savage, cruel, vicious)
Festive - (celebratory, joyful, merry)
Fireproof - (incombustable, flame-resistant, fire-retardant)
First-class - (superior, unequaled, first rate)
Fishy - (suspicious, dubious, seafood)
Flammable - (combustible, fiery, burnable)
Flexible - (bendable, accommodating, adaptable)
Frail - (fragile, delicate, weak)
Frisky - (playful, lively, peppy)
Frustrating - (exasperating, wearisome, annoying)
Ghetto - (in the ghetto, like the ghetto, from the ghetto)
Gigantic - (enormous, colossal, gargantuan)
Greasy - (oily, slimy, slippery)
Gross - (foul, grotesque, disgusting)
Grumpy - (irritable, cranky, crabby)
Hazy - (misty, unclear, obscure)
Heartbreaking - (distressing, tragic, pitiful)
Immoral - (morally wrong, wicked, decadent)
Impressive - (remarkable, extraordinary, striking)
Incredible - (unbelievable, far-fetched, amazing)
Inexperienced - (innocent, naïve, untested)
Inferior - (lesser, second-rate, mediocre)
Informal - (casual, relaxed, unceremonious)
Intellectual - (thoughtful, rational, scholarly)
Intoxicating - (stimulating, exhilarating, alcoholic)
Intricate - (elaborate, complicated, complex)
Intriguing - (fascinating, captivating, mysterious)
Joyful - (happy, pleasant, elated)
Lame - (ineffective, weak, crippled)
Liberated - (open-minded, free, enlightened)
Little - (small, unimportant, miniature)
Lively - (energetic, animated, vigorous)
Logical - (rational, reasonable, plausible)
Magnetic - (attractive, compelling, alluring)
Magnificent - (marvelous, glorious, grand)
Naughty - (mischievous, wayward, bad)
Necessary - (essential, indispensable, basic)
Needy - (poor, desperate, dependant)
Nerve-racking - (irritating, distressing, annoying)
Neurotic - (anxious, phobic, disturbed)
Non-threatening - (safe, powerless, weak)
Old-fashioned - (outdated, traditional, behind the times)
Orderly - (methodical, formal, systematic)
Passionate - (zealous, obsessive, loving)
Perishable - (unpreserved, fresh, fragile)
Perky - (lively, playful, vivacious)
Pitiful - (pathetic, disgraceful, inadequate)
Plentiful - (abundant, bountiful, ample)
Politically Correct - (inoffensive, conciliatory, ingratiating)
Polluted - (contaminated, impure, tainted)
Practical - (sensible, useful, functional)
Precious - (valuable, prized, loved)
Precise - (exact, accurate, clear-cut)
Proper - (appropriate, polite, correct)
Puzzling - (perplexing, mystifying, confusing)
Quick - (rapid, speedy, abrupt)
Quirky - (unusual, peculiar, odd)
Reckless - (irresponsible, careless, wild)
Regal - (royal, majestic, dignified)
Reliable - (dependable, trustworthy, consistent)
Reserved - (detached, aloof, modest)
Revealing - (exposing, enlightening, informative)
Revolting - (disgusting, repulsive, sickening)
Ripe - (ready, mature, full-grown)
Romantic - (loving, passionate, idealistic)
Scented - (fragrant, aromatic, perfumed)
Sensible - (levelheaded, prudent, reasonable)
Shabby - (ragged, nasty, tattered)
Significant - (important, noteworthy, substantial)
Silent - (soundless, hushed, still)
Slippery - (slimy, sneaky, greasy)
Solid - (firm, dense, reliable)
Sour - (acidic, bitter, resentful)
Space-aged - (modern, futuristic, newfangled)
Sporty - (athletic, active, rakish)
Stately - (dignified, elegant, noble)
Sticky - (gummy, clammy, gluey)
Strange - (bizarre, weird, odd)
Sturdy - (durable, well-built, strong)
Stylish - (fashionable, trendy, mod)
Superior - (top-quality, advanced, pompous)
Thick - (wide, dense, bulky)
Tormented - (attacked, tortured, distressed)
Trite - (commonplace, unoriginal, clichéd)
Trivial - (unimportant, random, erratic)
Uplifting - (elevating, inspiring, soul-stirring)
Valuable - (precious, important, expansive)
Warm - (tepid, mild, affectionate)
Well-preserved - (youthful, fresh-looking, unchanged)
Worthless - (insignificant, useless, trashy)
Amazing - (astonishing, surprising, wonderful)
Armed & Dangerous - (hazardous, threatening, fortified)
Attractive - (alluring, engaging, good-looking)
Bashful - (shy, timid, modest)
Big & Tall - (large, bulky, gigantic)
Black & Blue - (bruised, battered, rough)
Black & White - (indisputable, distinct, written)
Brains & Brawn - (solid, strong, capable)
Bright & Shining - (radiant, sparkling, gleaming)
Brutal - (cruel, crude, harsh)
Clever - (intelligent, ingenious, witty)
Clumsy - (awkward, bumbling, uncoordinated)
Conceited - (vain, smug, self-centered)
Controversial - (contentious, disputable, debatable)
Cool & Collected - (controlled, composed, restrained)
Cozy - (comfortable, snug, warm)
Creepy & Crawly - (frightening, ghastly, icky)
Crisp - (brittle, brisk, fresh)
Crisp & Delicious - (tasty, crunchy, savory)
Cruel & Unusual - (barbaric, merciless, unwarranted)
Cut & Dried - (settled, obvious, indisputable)
Cute & Cuddly - (adorable, precious, huggable)
Dark - (unlit, morbid, sinister)
Dashing - (gallant, bold, elegant)
Dazed & Confused - (stunned, bewildered, disoriented)
Dead & Gone - (deceased, defunct, passe)
Devious - (sneaky, shifty, tricky)
Down & Dirty - (nasty, vicious, unscrupulous)
Down & Out - (destitute, impoverished, penniless)
Drunk & Disorderly - (intoxicated, unruly, rowdy)
Dumb & Dumber - (stupid, dull, rediculous)
Edgy - (irritable, nervous, tense)
Enchanting - (captivating, charming, spell-binding)
Endangered - (at risk, threatened, unprotected)
Energetic - (active, vigorous, forceful)
Enjoyable - (pleasurable, entertaining, fun)
Enormous - (large, huge, gigantic)
Entertaining - (amusing, festive, enjoyable)
Evil - (wicked, corrupt, depraved)
Famous - (well-known, celebrated, distinguished)
Fashionable - (stylish, dashing, current)
Fast - (swift, quick, rapid)
Fast & Furious - (wild, reckless, breakneck)
Fast & Loose - (deceitful, fraudulent, reckless)
Fat & Happy - (content, satisfied, assured)
Flaky - (foolish, eccentric, crispy)
Flamboyant - (ornate, pompous, extravagant)
Flavorful - (tasty, savory, pungent)
Flawed - (imperfect, defective, unsound)
Foot Loose & Fancy Free - (lighthearted, carefree, spontaneous)
Fragile - (delicate, frail, breakable)
Fun - (enjoyable, playful, amusing)
Gloomy - (dreary, depressing, sullen)
Goofy - (silly, foolish, giddy)
Gorgeous - (beautiful, stunning, magnificent)
Grueling - (demanding, exhausting, strenuous)
Gruesome - (ghastly, hideous, grisly)
Grungy - (dirty, shabby, seedy)
Hale & Hearty - (healthy, vigorous, robust)
Handy - (convenient, available, capable)
Harsh - (severe, glaring, brutal)
Hazardous - (risky, dangerous, perilous)
High & Dry - (abandoned, alone, helpless)
High & Low - (everywhere, universally, all over)
High & Mighty - (arrogant, conceited, vain)
Hit & Miss - (sporadic, unreliable, erratic)
Hot & Bothered - (annoyed, irritated, provoked)
Hot & Cold - (ambivalent, indecisive, varying)
Hot & Heavy - (passionate, momentous, serious)
Hot & Muggy - (sultry, humid, oppressive)
Hot & Spicy - (zesty, stimulating, pungent)
Hot & Sweaty - (sweltering, intense, perspiring)
Huge - (gigantic, immense, important)
Humorous - (funny, amusing, comical)
Icky - (sickening, disgusting, repulsive)
Ideal - (perfect, flawless, model)
Jolly - (cheerful, joyous, merry)
Lean & Mean - (vigorous, fit, efficient)
Lewd & Lascivious - (lustful, obscene, indecent)
Light & Fluffy - (billowy, airy, soft)
Long & Lean - (slender, lanky, wiry)
Loud & Clear - (definite, explicit, unequivocal)
Mean - (malicious, ill-tempered, petty)
Meek & Mild - (timid, docile, gentle)
Mesmerizing - (fascinating, hypnotizing, charming)
Messy - (sloppy, disorderly, unclean)
Modern - (contemporary, fashionable, trendy)
Naughty & Nice - (impish, mischievous, playful)
Neat & Clean - (spotless, tidy, shipshape)
New & Improved - (upgraded, enhanced, revised)
Nutty - (kooky, foolish, nutlike)
Obscene - (offensive, indecent, lewd)
Old - (aged, elderly, antiquated)
Old & Cranky - (crabby, cantankerous, aged)
Old & Wise - (experienced, judicious, shrewd)
On The Up & Up - (trustworthy, irreproachable, honest)
Perverse - (stubborn, obstinate, improper)
Plain & Simple - (unadorned, uncomplicated, clear)
Plug & Play - (effortless, automatic, self-operating)
Plump & Tender - (ripe, chubby, fleshy)
Pretty - (lovely, attractive, good-looking)
Prim & Proper - (reserved, modest, prudish)
Quick & Dirty - (cheap, shoddy, inferior)
Raw - (crude, uncooked, harsh)
Respectable - (worthy, honorable, decent)
Rough & Ready - (crude, makeshift, prepared)
Secretive - (concealed, covert, veiled)
Sensational - (thrilling, startling, melodramatic)
Short & Stout - (plump, portly, tubby)
Short & Sweet - (precise, clear-cut, succinct)
Sick & Tired - (worn out, exhausted, exasperated)
Sick & Twisted - (depraved, wicked, lascivious)
Sickening - (nauseating, disgusting, revolting)
Slow & Steady - (reliable, deliberate, ponderous)
Sluggish - (inactive, lazy, slothful)
Smooth & Creamy - (silky, velvety, rich)
Sophisticated - (urbane, cosmopolitan, complex)
Special - (distinctive, unique, original)
Spic & Span - (spotless, tidy, clean)
Stupid - (ignorant, unintelligent, inane)
Swift & Sure - (steady, prompt, definite)
Tasty - (flavorful, savory, appetizing)
Tempting - (seductive, enticing, alluring)
Tender - (soft, compassionate, fragile)
Terrific - (sensational, fabulous, severe)
Thick & Chunky - (bulky, heavy, lumpy)
Tormenting - (torturing, harassing, agonizing)
Torn & Tattered - (shabby, ragged, grungy)
Touch & Go - (indecisive, uncertain, insecure)
Trashy - (shameless, nasty, indecent)
Tried & True - (tested, proven, trustworthy)
True & Blue - (loyal, faithful, patriotic)
Up & Coming - (promising, enterprising, gifted)
Up & Down - (volatile, variable, vertical)
Vain - (conceited, arrogant, fruitless)
Warm & Cozy - (snug, comfy, friendly)
Warm & Fuzzy - (kindhearted, loving, affectionate)
Wash & Wear - (durable, easy-care, sturdy)
Whimsical - (humourous, peculiar, fanciful)
Wild & Wooly - (untamed, uncontrolled, reckless)
Wired - (strained, tense, nervous)
Young & Restless - (fidgety, impatient, flighty)
